bruce_id,timestamp,transaction_id,merchant_id,hit_rules,rules_decision,override,engine_decision,final_decision,is_fraud_x,is_fraud_y,learning_label,B_listed,W_listed,rel_rules,h2o_score,bayesia_score,ml_label,sherlock_decision
27351186,2016-12-14 13:37:58,0ccd7112-f7b5-42e8-ac40-340c74bbab1a,M098322,,,,accept,settlement,0,0,0,0,0,0,12.31,994.25,0,accept
27352518,2016-12-14 13:45:40,32659095-8779-4a44-8fb8-d6e9d7b152ba,M098322,SC0001215,deny,0,deny,None,0,5,2,0,0,1,4.09,1.59,0,accept
27353034,2016-12-14 13:48:56,a99785bf-1d6e-4d10-8b53-76e9d254d02e,M098322,SC0001215,deny,0,deny,None,0,5,2,0,0,1,35.59,383.99,0,accept
27353253,2016-12-14 13:50:08,4bba0ff0-9f02-498d-9263-a7c125dcf67d,M098322,,,,accept,settlement,0,0,0,0,0,0,20.88,58.4,0,accept
27353463,2016-12-14 13:51:17,3e8becd2-366f-4275-8bc4-9c9f7df7adad,M098322,,,,accept,settlement,0,0,0,0,0,0,2.29,0.0,0,accept
27354423,2016-12-14 13:57:26,a40ca4c3-bd92-4c20-8b3c-732f41a718b9,M098322,,,,accept,settlement,0,0,0,0,0,0,1.09,0.0,0,accept
27355551,2016-12-14 14:03:26,4840f0ae-0e95-4e1d-837b-4acbb46fbc22,M098322,,,,accept,deny,0,5,2,0,0,0,2.55,0.0,0,accept
27356874,2016-12-14 14:11:12,54fdcc84-c635-4cac-801a-9eb36e7f9387,M098322,,,,accept,settlement,0,0,0,0,0,0,1.41,4.94,0,accept
27358290,2016-12-14 14:19:37,d0b0d032-5e82-43a2-b928-f028043f10d3,M098322,,,,accept,settlement,0,0,0,0,0,0,11.3,14.62,0,accept
27359094,2016-12-14 14:23:53,98b6cf83-6394-4142-a7ad-774ec310e18b,M098322,SC0001215,deny,0,deny,None,0,5,2,0,0,1,1.38,1.58,0,accept
27359367,2016-12-14 14:25:25,9c9a31ea-2675-4c19-9627-f739d213df6f,M098322,,,,accept,settlement,0,0,0,0,0,0,29.03,159.64,0,accept
